Measurements,Maths,Mechanics,POM,Electricity,Thermodynamics,Computer,Maths2,Programming,Fluid,Electronics,Manufacturing,Drawing,Department
A+,A,A,A+,A+,A+,A+,A+,A+,A-,A+,A,B+,CO
A,A,A,A,A,A,A,A,A+,A,A,A,B,CO
A,A,A,A,A+,A,A+,A,A,A-,A,A-,B+,EE
A+,A,A,A,A,A+,A+,A,A+,A,A+,A-,B-,EE
A,A,A,A,A-,A+,A+,A,A,A,A,B+,B,CO
A,A,A,A,A,A,A+,B,A,B+,A,A,B,EE
B+,A+,A-,A,A,A,A+,B+,A+,A,A,B+,A-,EE
A-,A,A,A,A,A-,A,B+,A+,A-,A-,B+,A-,EE
A,A,A-,B+,A-,A,A,B+,B+,A+,A,B+,A,EE
A,A,A-,A,A-,B+,A,A-,A,A+,A+,B,B,EE
A,A+,B+,A+,A+,A,A,A-,A,A,A-,B+,B-,ME
A,A-,B,A-,A+,A-,A,B,A+,A,A-,A-,A,CO
A,A,A-,A,A,A,A,A+,A,A-,B+,B,C+,EE
A,A,B,A,A-,A-,A+,B,A,A,A,A-,B-,EE
A,A-,B,A,B+,A-,A,A-,A,A+,A,B+,B-,EE
A-,A-,A,A,A,A,B+,B+,B+,A,A,B+,B-,ME
A,A-,B+,A+,A-,A,A+,B+,B+,A,A-,B+,B,CO
B+,B+,B+,A,A,A,B+,A-,A-,A,A,B+,B,EE
A-,A+,A-,A,A,A,A,A-,B+,B,A-,B,B-,CO
A,B,B+,B+,A-,A,A-,A,B+,A-,A-,A-,B+,EE
A,A,A-,A,A-,A-,A,B+,A,A,B,B+,C+,ME
A,B+,B,A,A-,A,A,A-,A-,A,B+,B-,A-,CE
A+,B+,B+,A+,B+,B+,A,B,A+,A-,A+,A,B-,EE
A,A-,A,A,A,B+,A,A-,A-,B+,B+,B,B-,EE
A-,A,B+,A,B,A,A-,B+,A,B+,A-,A-,B-,EE
A+,A-,B,A,A,A-,A-,B+,B+,A-,A-,A-,B,EE
A,A-,B,A,A,A-,A+,B+,A,A-,A-,B,B-,CO
A,B+,A-,B+,A,A,A,B,A-,A,A-,B,B,CO
A-,B+,A,A,A,B+,A-,B+,A-,A-,B+,A-,B-,EE
A,A-,B,A+,A-,B,A+,B-,A,B+,A,A-,B,CO
A,A+,B+,A,A,B+,A+,A-,A,A-,B+,B,C,EE
B+,A-,A,A-,A,A,A-,B,A-,B,A,B,B-,ME
A,B+,A-,A-,A,B,B+,B,A,A,A+,B,B-,EE
A-,A,B,A,A,A-,A+,A,A-,B,B,B,B-,CO
A-,A,A+,A,B,B+,A-,C+,A,A-,A-,B,B,CO
A,B,A,B-,A,B,B+,A-,A-,A-,A+,B,B-,EE
B+,B,B,A-,A-,A-,B+,A,A-,A,A+,B,B-,CO
A-,A,B,B+,A-,A,B+,A-,A-,B,A-,B,B-,EE
A-,B,B,A-,A,B+,A+,B,B+,A-,A,A-,B-,EE
A-,A-,A,R,B+,A-,A,A-,A-,A,A+,B+,B-,EE
A,A+,B,B,A-,B,A+,B+,A-,B,A-,B+,B-,CO
A-,A-,B,B+,B+,B,A,B,A-,A,B,A-,B,CO
B+,B+,B,A,A,A-,A-,B-,A-,B,A-,A-,B-,CO
A,A,B,B+,A-,A-,A,A+,A+,A-,A,B+,R,CO
B,A-,B,A-,B+,A,B+,B+,B+,B,A-,A,B-,CO
A-,A-,B,A,A,A,A,B,A-,B,B+,B,C+,EE
A-,B+,B,A-,A-,B+,A-,B+,A-,B,A-,B+,B-,EE
A-,B+,B-,B+,A,B+,B+,B,A,A-,B+,A-,B-,EE
A,B,B,B+,A-,B,A-,A-,A-,A+,B+,B,B-,CO
A-,A-,B,A-,B+,B+,A-,B,A,B,B+,B+,B-,CO
A-,A,A-,B+,B+,A,A,B+,B-,B+,B,B,B-,CE
B+,B+,B+,A-,A-,A,A,A-,B+,B,A-,B,C,EE
B,B,B+,B,B+,B+,A-,B,A,B+,B+,A-,B+,EE
A-,B,A,B,B+,B,B+,B+,A-,B,A-,A-,C+,EE
A-,B,B+,B+,A+,B+,A-,B,A-,B+,A-,B+,C+,CO
A,B+,B,A-,A,B,A,B,A-,B,B+,B,B-,CO
B+,B-,B+,B,A-,A-,A,A,B+,B,B,B+,B,CO
B,B+,B,A-,A-,B,A-,B,A-,B,A,B+,B-,CO
A-,B,A,B+,B+,A+,B+,B,B+,A,B,B,B-,CE
A-,B,B,A-,A-,B,B,B,B+,B,B+,A,B+,EE
B,B-,B+,A,B,B,B,A-,B+,A,B+,B+,B+,EE
A-,B+,B+,A-,B+,B,B,B,A,B,A,B-,B-,CO
A-,B,B,A-,B+,A,B-,B,A,B+,B+,B,B,CO
A,B+,B,A-,B+,B,A-,A,B,B+,B+,B,C+,EE
A,B,B-,B+,B,B+,B+,B+,A-,B,B+,B+,B+,CO
B+,A-,B,B,A-,B,A-,B,A,B,B+,B,B-,CO
B+,B-,B+,B+,B+,B+,A,B,B+,B+,A,B,B-,EE
B,B,B,B+,B+,B,B+,A-,B+,B,A-,B+,B,ME
A-,B,B+,A-,A,B+,B,B,B+,B,B,B+,B-,ME
B,B-,B,A,A-,B-,A-,C+,A-,B,B+,B+,A-,EE
B+,B+,B,B+,B+,B+,B+,B+,B+,B,B+,B+,B-,CE
B+,B+,B-,A-,A-,B,A-,C+,A+,B,B+,B,B,CO
A-,B-,B,B,B+,A-,A-,B+,B+,B,B,B,B+,ME
A-,B,B+,A,B+,A-,B+,B-,B,A-,B-,B,B,CO
A,B+,A-,A,A-,A-,A-,B+,B,A-,B+,B+,R,CO
B,A-,B,A-,B+,B+,B+,B+,B+,B,B,B,B-,CE
A-,B+,B-,B,A,B,A+,B-,A-,B,B,B,B-,EE
B+,B,A-,C+,A,R,A-,B+,A-,B+,A-,B+,B,EE
B-,B,B,B,B+,A-,A-,B+,B+,B-,B,B+,B,EE
B,B,A-,B-,B+,B+,A-,B,B+,B,B+,B+,C+,EE
A+,A-,B,A,A,B,A+,B+,B+,B,B+,B+,R,EE
A-,B,B-,B+,B+,B-,A-,B,B+,B,A-,B,B-,CO
B,B,B+,B,A-,B,B+,B,B+,B+,B,B,B,CO
A,B+,B,B,B,B,B+,B,B+,B-,B,B+,B-,CO
B+,B,B,B+,A-,B-,B+,A,B+,B-,B,B,C+,EE
B,B,B-,B+,A-,B+,B,B,B+,B,B+,B,B,EE
B,B,B-,B+,B+,A-,B+,B+,B,B,B+,B,B-,EE
B,B,A,A,B+,B,A-,C+,B-,B,B,B,B-,CO
B+,B,A-,A,B+,B,B+,B-,B,B,B,B+,C,EE
B+,A,B+,A-,A,B,B+,R,B+,B,B+,B,B+,EE
B,B+,B,B+,B+,A,B+,B-,B,B,B,B-,B-,EE
A-,B,B,B+,B,B,B,B-,B,B,B+,B+,B-,EE
B,B,B+,B,B+,R,B+,B+,A-,B+,A-,B,B,CE
B+,B+,B-,B,B,B,B+,B,B+,B,B,B,B-,CO
B,B,B,B,B,R,B+,B+,A-,B+,A,B,B-,ME
B,B,B+,B+,B,B,B+,B-,B,B,B,B,B-,CE
B+,B,B-,B+,B,B,B+,C+,B+,B-,B+,B,B,CE
A-,B,C+,A-,B+,R,B,B-,A-,B,A-,B+,B,CE
B,B+,R,B+,A-,A-,B+,B,A-,B,B+,B+,C+,ME
B,C,B,B+,B,B,B,B,B,B,B-,B,B+,ME
B,B+,B,B-,B,B-,B-,B+,B,B-,B,B,C+,CE
B+,B-,B,B+,B+,R,B+,B+,B+,B,B,B,B,CE
B+,B,R,B,A-,B,A-,B-,A-,B,B,A-,B-,CE
B,B,B-,B,B,B,B+,B,B-,B-,B,B-,B-,CE
B+,B,R,A-,B+,B,B+,B,B,B,B+,A-,B-,ME
B,B-,B,C+,B+,B-,B+,B,B-,B-,B,B,B-,CE
B+,B,R,B+,A-,B,B+,B,B+,B,A,B,C+,ME
A-,B+,R,A-,B+,B+,A-,B,B-,B,B,B,B-,ME
B,B,B,B,B-,B,B+,B-,A-,B,B+,B+,R,ME
A-,B+,B+,A,A-,A-,B+,R,B+,B,B,A-,R,ME
B,B+,R,B+,B,B-,B+,B-,B+,B,B,B+,B,CE
B+,C+,B,B,B+,B-,R,B+,B+,B,B,B,B-,ME
B+,B,B,B-,B,R,B+,B-,B-,B,B,B,B-,ME
B,B-,B,B+,B,B,B,R,B,B,B,B+,B-,ME
B+,B-,B,B+,B-,B,B-,R,B,B-,B+,B,B,CE
B,B-,R,C+,B+,B,B+,B,B+,B-,B,B+,B-,ME
B,B,B+,B,A-,R,B,R,B,B+,B,A-,B-,CO
R,R,B-,A-,B,B,B+,B,A-,B,B,B,B,ME
A-,B,B,A-,B,R,B,R,B+,B+,B,B+,C+,ME
R,B,B,B,B,R,B,B,B+,B,B,B,B-,CO
B,B,B-,B-,B,B+,B,C+,B-,B+,B,B,R,CE
A-,B-,B-,A,B,B,B,C+,R,R,B,A,B,ME
B+,B-,B-,B,B-,B,B,R,C+,B,B,B+,B-,CE
B,B,B,B,B+,B-,B-,B-,B-,B-,B,R,B-,ME
B,B+,B-,B+,B,B,B,R,B,R,B,A-,B-,CO
A-,B,R,A-,A-,B-,B+,R,A+,R,B+,B+,B+,ME
B+,B-,R,A-,B,R,B+,C+,A-,B,B,B,B-,ME
B,B,B,B+,B+,A-,A-,R,R,B,B,B,B-,ME
R,B,B-,B,B+,B,B+,B+,B-,B-,B+,R,B-,CE
B+,B,R,B-,B,R,A-,B-,B,B,B,B,B-,CE
B,B,B-,B+,B+,B,R,B,B-,C,B,A-,R,CE
B,B-,B,B-,B,R,B+,R,B,B,B,B-,B,CE
B,B-,R,B,B+,R,B,B-,B,B-,B,B+,B-,ME
B,B-,B-,B,B-,R,B,R,B,B-,B+,B,B,CE
R,B,B+,B-,B+,B-,B-,B,B,B,C+,B,R,ME
B,B-,B,B,R,R,B,B-,B-,C+,B,B-,B-,CE
B+,R,R,B,B+,B,B+,R,A-,B,B+,A,B+,CE
B,B-,R,C+,B,B,A-,B,B,B+,B,B,R,ME
B,B-,R,B-,B+,B,B+,R,A-,B-,B,B,C+,CE
B,B,R,B,B,B,R,B,B-,C+,B,B,C+,CE
B-,B-,B,B,B,R,B-,R,B-,B-,B-,B+,B-,ME
B,B-,R,C+,B,B-,B,B-,A-,R,B,C+,B-,CE
B-,B+,B-,B,B,B,B,R,B-,C+,B,B,R,ME
B,B-,R,B,B,R,B+,R,A-,B,B+,B,C+,ME
B,B-,B,B-,B+,C+,B+,R,C+,B,B-,R,B-,CE
B,B+,R,B,B,R,B,R,B+,B,B+,B,C,CE
A-,B-,R,C+,R,B,B,R,B,B-,B+,B,C+,CE
B,R,R,B+,R,B-,B,B-,B,C+,B,B,B-,ME
B,B,R,B+,B,R,B+,R,B+,R,B,B,B,CE
B+,R,R,B,B,R,B+,R,A-,B,B,A-,B-,CE
B,B-,R,C+,B,R,B,C+,R,B-,B,B,B-,ME
R,R,B-,C+,B,R,B-,C,B-,B-,B-,B,B-,ME
B-,B-,B-,B,B,R,R,R,B+,R,B-,B,B-,ME
B-,R,R,B,B-,R,B-,C,B,B-,B,B+,C+,CE
B+,A-,R,B+,B,R,B,R,B-,R,B-,C+,B-,CE
A-,B,R,B,B,R,B,R,B-,R,B,B,C+,CE
B+,R,R,B,B,B-,R,R,B-,B-,B-,B+,B-,ME
R,B,R,R,B,R,R,C+,B,C+,B+,B,B-,CE
B,R,R,B,B-,R,B+,R,B-,C+,B,B,C+,ME
B,B-,R,B-,B+,R,B-,R,R,B-,B-,B,C+,CE
B,R,B-,C+,B-,R,B,R,R,B-,B-,B,B-,ME
B,R,B,B-,R,R,R,R,B-,B-,B+,B+,C+,ME
R,B,B,C,B,R,R,R,B-,B-,B,R,C+,CE
C+,R,R,B-,B,R,B+,R,B-,R,C+,B,B+,CE
R,B-,B,R,R,R,B-,R,R,B-,B-,B-,B,CE
R,R,R,C+,B,B-,R,R,B-,R,B-,B,B+,ME
B,R,R,B-,B,R,B+,R,R,R,B-,B,B-,CE
R,A,A,B,B,C+,B-,B+,B,B,B,R,A-,CE
B,B,B+,R,B-,B,B,B,A-,B,B,B,B,CE
A,A,A,A,B+,A,A,B+,A-,A-,A,A-,B+,CO
B-,R,B,B,B,B,C+,R,B+,B-,B,B,B,CE
B+,A,A,A,B+,B,B,A-,A-,B,B,B,C,ME
B+,A+,A-,A,A,A,A,B,B,B,A-,B-,B,CO
B,B+,B,B+,R,B-,B,B,B+,B-,B,A,B,ME
A-,A-,A,A,B+,A,A,A-,B+,B,A-,B+,A-,CO
B-,A,A-,A+,B,B,A,B,A-,B,B+,B+,B,CO
A+,A+,A,A,A-,A+,A,A-,A,B,A-,B+,B+,ME
B+,A+,A,A+,A,A+,A+,B+,A,B+,B+,B+,B+,CE
B,B,A-,A,A-,A,B+,B+,A-,B,A,B+,B+,EE
B+,A-,A,A,B,B+,B,B,B+,R,B,B+,R,CE
B,A,A,B,B+,B+,B,A,B,B-,A-,C+,B,EE
A-,R,B+,A-,B,B,A-,C,A-,B,B,B,B,CE
A-,A+,A,A,A,A+,A+,A,A,B,A,A,B,CO
A-,A,A,A,B+,A+,A-,B+,B+,B,A,A-,B,EE
B+,A+,A+,A+,A,A+,A+,A+,A+,B+,A,A-,B+,CO
B+,B,B+,A-,B,B+,B,B-,A,R,B,B+,B+,ME
B-,A,A,B+,B+,B,B,B,B,B,B-,B,B,ME
B+,A,A,A-,B+,A,A,B-,A,B,B,A,B+,EE
B,A,B+,A,A-,B,A,B,A,B,B,A-,B+,CO
A,A+,A,A+,A-,A+,A,A,A,A-,A,A,B,EE
B-,R,B,B,B,B,R,B,B+,B,B-,B+,B,CE
B,B+,B,A,B+,A-,A-,B,A-,B,B,A-,B,ME
A-,A-,B-,A+,B,B,A-,R,A,B-,B,A-,A-,ME
B,R,B+,A,B,B-,R,R,B,R,B,B+,B+,CE
A,A,A,A,A,A,A+,A,A,A-,A-,A,B-,CO
B-,B,B+,B,B,R,B,B-,B+,B,B,B-,B,CE
B,A-,A-,B+,B,B+,B,B+,B,B-,B,B,B,ME
B+,A,A-,B+,A-,A,B+,A,A,A-,A,A,A-,CO
B,B,R,B-,R,R,B,B,A,B+,A-,R,B,CE
B+,A,A-,B+,A-,A-,A,B+,B+,B+,B,A,B,EE
B,B+,B,A,B,B,A,B,B+,B,B+,A-,B+,EE
A,A,A+,A+,A,A+,A+,A+,A,A,A,A,A,CO
C+,R,B,B,B,C+,R,B,B,B+,B-,C+,B,CE
A-,A,B+,A-,B-,B+,B+,B,A-,B,B,B+,B,EE
B-,A-,B,A-,B,A-,C+,B,B+,A-,B,B,B,ME
B,A-,A-,B,B,B+,B,B,B+,B,B,B+,B,ME
B-,B,B-,B+,B,B,B-,B+,B+,B-,B+,B-,C+,ME
B,A-,B,B,B,B,C+,B,B+,B,B,A-,B-,ME
A-,B+,A,A-,A-,B,A-,B,A,A-,B+,B,B+,ME
B+,B,B+,B+,B,B-,A-,B,A,B,B-,B,A-,ME
B,A,A,A+,A,A-,A+,B,A,B,A,A,B,CO
B+,A+,A-,B,B,B,B,A-,A-,A-,A-,A,B+,CE
B+,A,A,A,B,A,A,A-,B+,B,B+,B,A-,CO
A-,A+,A,A,A,A,A,A+,A,A-,A,A,B+,CO
B,B,B+,B,B,B,B,R,B,B-,B,A,B,CE
B-,R,B+,B+,B,B,B-,B-,B,B,B,B,B,CE
B+,B+,B,A,B+,A,A,B,B,B,B,B,A-,CO
B,B,B,B-,B,B-,B,B+,B,B,B,B-,B,ME
B,A,B,A-,A-,A-,B+,A-,A,B+,A-,A-,B,CO
A-,A-,A,B+,B,B,B+,C,A-,B+,B,A,B+,CO
C+,A-,A-,B,B,B+,B,B-,R,R,B+,B-,B,CE
B+,A-,A,A+,B+,A+,A+,B,A+,B,B+,A-,B,EE
C+,B+,B,B,R,R,B,A-,B+,R,B-,B,A-,CE
B,B,A-,A,B+,B-,A-,B-,A,B,B,B,B+,ME
B-,B,A-,B,B,B,C+,B,B,B-,B-,B,B-,ME
A-,A+,A-,A-,A,B,B+,A-,A,B+,A,A-,B+,EE
B+,B+,B-,A,B+,A+,B+,B-,B+,B,B-,A,B-,CE
B-,A,B+,B,B+,B,B,B+,B,B,A-,B,A-,EE
B+,A,A,A-,B+,A+,A,B,B+,B-,B+,B-,R,ME
A,A-,A,B+,B+,B,B+,B,A-,A,A-,A-,A,CO
A,A-,A,B+,A-,A,B,B,B+,B+,B,A,B-,CO
B,A,A,B,B,A-,A,B,A-,B-,B+,A,B-,EE
B+,A+,A-,A,B+,B+,A,A,A-,B+,A-,A+,A,ME
B+,R,B,B-,R,B,C+,B,B,B,B,B,R,CE
A-,A,A,A+,B+,A,A,A-,A,B+,B+,A+,A-,ME
B+,A,A+,A,B+,A-,B,A,B+,B-,B+,B,B,EE
B,A,A,A,B+,B+,A,B+,B,B,B-,B+,B,CO
A,A,A,B+,B+,A,A,A,A,B+,A-,A,A-,CO
B+,B,A,A-,B,B+,B,B+,B+,B,B+,A-,A-,EE
B+,A+,A-,A-,B,A-,A-,A,A-,B,A-,B,B,EE
A-,A-,B,A-,B,B,B+,C+,A-,B,R,B+,B+,CE
B,B+,A,B,B,B+,B+,C+,B+,B,B,B,B+,ME
B+,A+,A,A,A,A-,A+,B+,A,B+,B+,B,B+,EE
B+,A+,A+,A+,A,A+,A+,A+,A,A-,A,A-,B,CO
B,A,B,B,B+,A-,A-,B-,B+,B,B,R,B-,CE
B,A-,A,A,B,B+,B+,B,A-,B-,B,B,A-,EE
B+,A,A,A,B,A-,A-,B,A,B,B+,A,R,EE
A-,A,A-,A+,A-,A,A,A-,A,B+,A-,A,B+,CO
A,A,A,A+,B,A,A-,A-,A,A,A,A+,A,CO
B+,A-,A-,A+,A-,A,A-,A,A,B,A,A,A-,CO
B,B+,B+,B+,B,B-,A-,B-,A-,B,B,A,B+,ME
A,A,A+,A+,A+,A+,A,A,A-,A-,A,A,B,CO
B,A,A,B+,A-,B+,A-,A,A-,B,A-,B,C,EE
A-,A-,A,A,B+,A,A,B+,A-,A-,A,A-,B-,EE
B,B,B+,B,B,B-,B-,B,B,B-,B-,A,B,ME
A,A,B+,A,B+,A-,B+,B+,B+,B,B,B-,B,EE
B,B+,B+,B,B+,A-,A,B,A-,B,A-,B,B,EE
B+,A,A,B+,B,A,A,A,A-,B,A-,A,B-,CO
C+,R,B-,C,R,B-,B-,B+,B,B-,B-,R,B,CE
B-,B+,B+,A,B,A,B+,B-,A-,B,B+,B,C,ME
R,B+,B-,B,R,R,C+,B,B,B,B,A-,B,ME
R,R,R,C+,C+,C+,B,B-,B,B-,B,B-,B,CE
B-,B+,A,A-,B,C+,B,B,A-,R,B,C+,B,CE
B+,B+,A-,A,B+,A-,B,B+,B+,B,B,B+,B+,EE
B-,A,A-,A,B+,A-,B,B+,B+,B,B,A,A-,EE
A-,B,R,B+,B,B,B,B,B+,B-,B,B+,B,CE
B+,A-,A,A,B+,B,A,C+,A,B-,A-,B,A-,CO
A,A,A,A+,A-,A-,B-,A,A-,A-,B+,B+,C,EE
A-,B,A,A-,B+,B,B,A,B+,B,A-,A-,B+,EE
B,B+,A-,R,C+,B-,R,B-,B,B-,B,B,R,CE
B-,A,B,A,B,A-,B-,B+,B+,B-,A-,A-,B,CE
A-,A,A,A-,A-,B+,B+,B,A-,B,B+,A-,B-,EE
B,A-,B+,B,B+,B,B,A-,R,B,B,B,R,CE
B,B+,A,B+,B,B+,A-,B-,B,R,B,B,C+,ME
B+,A+,A,A-,B+,B+,B+,B,B+,B-,A-,A-,B,EE
A,A,A,A,A,A+,A+,B+,A,B+,A-,A-,B-,CO
A-,A,B,A,B,B+,A,C+,A,B,B,B,B,EE
A-,A,A,A+,A-,A,A,A-,A-,B,C,B+,B-,CO
B-,R,B+,B,B-,B,C+,B+,B,B,B,B,C+,CE
B,A+,A,A,B+,A,A,A+,A,B,A,B+,B-,CO
A-,A+,A,A,A-,A,B+,A-,A-,B,A-,B,B,CO
A-,A,A,A,A-,A-,A-,A,B+,B+,A,A,B,CO
A-,A,A,A+,A-,A+,A-,B+,A-,B,A,A,A-,EE
B+,A-,A,A,A,B,A-,B,A-,B,B+,A-,B+,EE
B,A-,A,A-,B,B+,A,B-,B+,B,B-,B,B,ME
A,A+,A+,A,A-,A+,A,A,A,B,A,A,B-,EE
A,A,A,A,A-,B+,A-,B-,A,A-,B+,A-,A,EE
B-,A-,B+,B,B+,B+,B-,A,A-,B,A-,B+,B,EE
B,B+,A-,A,B,A-,B+,B,B+,B+,B,A-,B,EE
A,B+,B-,A-,B+,A,A,C+,B+,B,B+,A+,B,CO
A-,A,A,A+,A,A,A,A-,A,B+,A,B,C+,CO
A,A+,B+,A,A,B+,A-,A,B+,B+,A,A-,B,EE
B+,B+,A-,B+,B+,B+,A,B,A-,B-,B+,B,B-,ME
C+,B,A-,B+,B,B-,B,B,A-,B-,B,C+,B-,ME
B+,A,B+,B+,B+,B-,B-,A-,R,B,B+,B,R,CE
A-,A,B+,B+,B+,A,B-,A-,A-,B,B+,B,B,CO
B+,B,B,A+,B,B,A-,C,A,B,B+,B+,B-,ME
B,B,B-,B,C+,C+,B-,R,B,R,R,B,B,CE
B,B+,B+,B,B+,B,B,B,B+,B,B,B,B-,ME
B,A,A-,A,B,C+,R,A-,A-,B,A-,A-,B+,EE
B,A,A-,B+,B+,B,B+,B+,B+,B,B+,B+,C,CE
B-,B+,A-,B,B-,R,B,B-,R,B-,B,B-,B-,CE
A-,A,B+,A+,B+,B+,A-,B,A,B,A,B,B,CO
A,A,A,A,A-,B+,A-,A-,A-,B+,B+,A-,A-,CO
B,A,B+,A-,A,B,B+,B,B+,B,B,C+,B,ME
B+,A,A-,A,A-,B,B+,B-,A-,B,A-,B,B,CO
R,B,B+,B,B,B-,R,B-,B+,B,B,R,B,CE
B,R,B,B-,B,R,C,B,B+,R,B,B,B,CE
B+,A,A,B,A-,B+,B,B,B+,B+,B+,B,B+,EE
A,A+,A,A,A,A+,A,A,A,A,A+,A,B+,CO
B+,A,A,B+,A-,B,B,C+,A-,B,B,B,R,ME
B+,A,A-,B+,B+,B+,A+,A,A,B+,B,B-,A,CO
B,A,B+,B,B,B,B+,B,A,B,B,B-,A-,ME
B,R,B,B,B-,B,C+,B,B+,B+,B-,B-,B+,CE
A,A,A,A,A-,A,A,B,A-,B,R,B+,C,ME
B,A,A,A,A-,B+,A-,A-,A-,B,B+,A,A-,EE
B,B+,A-,A,B+,B,B+,B,A,B+,B-,B,C,ME
B+,A,A,A-,B,B,B,A-,B+,A-,B+,B,B,CO
B,B,B,B,B+,B,A-,B+,B+,B,B,B+,B+,ME
B,B+,B,A-,B,B+,A-,B+,B+,B,B-,B-,B-,ME
A-,A,B,A-,A-,B+,B+,B,B,B+,B-,B+,A-,EE
A,A-,A-,B+,B+,A,B+,B,A-,B+,B,B+,B,ME
B+,A,A,A,B+,A,B,B+,B+,B-,B+,B-,B-,EE
A-,R,A-,A,B+,B+,A,B-,B,B,B-,B,B,ME
B+,B,B-,A,B+,B,B+,B,A-,B,B,B,B+,ME
B,R,B+,A,B+,B+,A-,C+,A-,B-,B,B-,C,CE
B,A,A-,B+,B,C,C+,B+,B,B-,B,B+,R,CE
B+,B+,A,A-,B+,B+,B+,A,C,B+,B,B,R,ME
A-,A,A,A,A-,A,A,B,B+,B,B,A-,C,CO
